City_ID,City,Latitude,Longitude,Max Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (m/s),Country,Date
0,monmouth,40.3001,-74.1663,13.9,55,4,2.36,US,1698110996
1,san antonio,29.4241,-98.4936,26.86,75,75,7.72,US,1698110894
2,adamstown,-25.066,-130.1015,22.78,81,100,4.99,PN,1698111183
3,nantucket,41.2835,-70.0995,13.03,77,100,1.54,US,1698110987
4,grytviken,-54.2811,-36.5092,-3.52,66,7,4.45,GS,1698111183
5,blackmans bay,-43.0167,147.3167,17.63,64,100,0.89,AU,1698111184
6,margaret river,-33.95,115.0667,16.42,36,100,3.87,AU,1698111184
7,constantia,44.1833,28.65,16.5,63,95,1.71,RO,1698111184
8,port-aux-francais,-49.35,70.2167,2.09,67,89,12.99,TF,1698111184
9,calvinia,-31.4707,19.776,9.31,83,0,2.28,ZA,1698111184
10,dryden,49.7833,-92.7503,9.16,100,100,2.57,CA,1698111184
11,gizo,-8.103,156.8419,26.82,83,100,5.06,SB,1698111184
12,saipan,15.1355,145.701,32.39,70,40,7.72,MP,1698111185
13,edinburgh of the seven seas,-37.0676,-12.3116,12.93,76,97,5.38,SH,1698111185
14,queenstown,-31.8976,26.8753,11.11,82,1,1.75,ZA,1698111185
15,ribeira grande,38.5167,-28.7,20.99,97,100,4.02,PT,1698111185
16,novo aripuana,-5.1206,-60.3797,23.78,90,100,1.48,BR,1698111185
17,kone,-21.0595,164.8658,24.62,69,95,3.21,NC,1698111185
18,hawaiian paradise park,19.5933,-154.9731,27.71,81,100,2.57,US,1698111185
19,lebu,-37.6167,-73.65,10.26,75,81,6.29,CL,1698111185
20,tazovsky,67.4667,78.7,-4.89,88,15,3.46,RU,1698111185
21,hithadhoo,-0.6,73.0833,27.06,77,100,5.96,MV,1698111186
22,susuman,62.7833,148.1667,-12.68,92,94,0.92,RU,1698111186
23,stanley,54.868,-1.6985,9.32,95,100,1.54,GB,1698111186
24,vorgashor,67.5833,63.95,-11.23,99,98,0.7,RU,1698111186
25,wailua homesteads,22.0669,-159.378,27.85,75,75,5.66,US,1698111186
26,gamba,-2.65,10.0,25.01,88,100,2.47,GA,1698111186
27,invercargill,-46.4,168.35,15.57,70,100,3.13,NZ,1698111080
28,new norfolk,-42.7826,147.0587,18.29,35,100,5.46,AU,1698111186
29,bethel,41.3712,-73.414,10.17,81,0,0.0,US,1698111148
30,talnakh,69.4865,88.3972,-3.77,85,100,1.4,RU,1698111187
31,nanga eboko,4.6833,12.3667,20.56,98,100,0.55,CM,1698111187
32,lata,40.1629,-8.3327,10.6,93,41,1.72,PT,1698111187
33,ola,59.5833,151.2833,0.08,68,99,1.06,RU,1698111187
34,ketchikan,55.3422,-131.6461,4.26,48,100,3.6,US,1698110965
35,yellowknife,62.456,-114.3525,-3.1,89,75,7.72,CA,1698111187
36,rikaze,29.25,88.8833,2.75,42,0,1.22,CN,1698111187
37,el granada,37.5027,-122.4694,19.7,83,75,8.75,US,1698111187
38,jamestown,42.097,-79.2353,7.8,84,0,1.54,US,1698111039
39,chibougamau,49.9168,-74.3659,0.79,86,100,3.09,CA,1698111188
40,changji,44.0167,87.3167,9.44,71,100,3.0,CN,1698111188
41,buchanan,5.8808,-10.0467,24.96,90,60,1.89,LR,1698111188
42,nar'yan-mar,67.6713,53.087,-1.03,91,100,6.1,RU,1698111188
43,anadyr,64.75,177.4833,3.28,86,0,4.0,RU,1698111188
44,antonio enes,-16.2325,39.9086,24.01,82,96,4.99,MZ,1698111188
45,iskateley,67.6803,53.1512,-1.06,90,100,6.06,RU,1698111188
46,ushuaia,-54.8,-68.3,9.81,57,0,2.06,AR,1698111086
47,ust-nera,64.5667,143.2,-11.04,93,68,2.62,RU,1698111189
48,pisco,-13.7,-76.2167,19.45,88,0,8.23,PE,1698111189
49,puerto natales,-51.7236,-72.4875,5.91,93,70,1.67,CL,1698111189
50,chardara,41.2547,67.9692,10.06,66,3,2.69,KZ,1698111189
51,bardai,11.65,7.2333,21.79,22,97,3.61,NG,1698111189
52,iqaluit,63.7506,-68.5145,-1.15,92,100,9.26,CA,1698111013
53,waitangi,-43.9535,-176.5597,12.68,65,15,3.58,NZ,1698111189
54,alamosa,37.4695,-105.87,12.99,30,0,4.12,US,1698111181
55,princeville,45.7668,-61.2985,7.82,84,100,2.57,CA,1698111189
56,wewak,-3.5534,143.6268,28.04,79,100,1.0,PG,1698111190
57,howrah,22.5892,88.3103,24.0,88,75,3.09,IN,1698111190
58,west island,-12.1568,96.8225,26.99,69,40,5.14,CC,1698111190
59,kismayo,-0.3582,42.5454,26.51,80,10,3.88,SO,1698111190
60,whitehorse,60.7161,-135.0538,-7.57,53,20,3.6,CA,1698111190
61,yeniseysk,58.4497,92.1703,-0.77,76,100,5.01,RU,1698111190
62,port saint john's,-31.6229,29.5448,18.26,88,0,5.52,ZA,1698111190
63,kodiak,57.79,-152.4072,6.73,57,0,2.06,US,1698111190
64,bani walid,31.7566,13.9942,25.85,26,0,3.1,LY,1698111191
